Frame: 0, Object ID: 1, Start: (281, 429), End: (1275, 390)
Frame: 1, Object ID: 1, Start: (281, 430), End: (1275, 390)
Frame: 2, Object ID: 1, Start: (281, 430), End: (1275, 390)
Frame: 3, Object ID: 1, Start: (283, 408), End: (1273, 402)
Frame: 4, Object ID: 1, Start: (283, 408), End: (1273, 402)
Frame: 5, Object ID: 1, Start: (271, 408), End: (1273, 402)
Frame: 6, Object ID: 1, Start: (283, 408), End: (1273, 402)
Frame: 7, Object ID: 1, Start: (283, 408), End: (1273, 402)
Frame: 8, Object ID: 1, Start: (283, 408), End: (1273, 402)
Frame: 9, Object ID: 1, Start: (262, 393), End: (1276, 429)
Frame: 10, Object ID: 1, Start: (261, 393), End: (1276, 429)
Frame: 11, Object ID: 1, Start: (262, 393), End: (1276, 429)
Frame: 12, Object ID: 1, Start: (262, 394), End: (1275, 428)
Frame: 13, Object ID: 1, Start: (262, 394), End: (1275, 428)
Frame: 14, Object ID: 1, Start: (262, 394), End: (1275, 428)
Frame: 15, Object ID: 1, Start: (295, 421), End: (1273, 421)
Frame: 16, Object ID: 1, Start: (295, 421), End: (1273, 421)
Frame: 17, Object ID: 1, Start: (295, 421), End: (1273, 421)
Frame: 18, Object ID: 1, Start: (308, 438), End: (1275, 395)
Frame: 19, Object ID: 1, Start: (308, 438), End: (1275, 395)
Frame: 20, Object ID: 1, Start: (308, 438), End: (1275, 395)
Frame: 21, Object ID: 1, Start: (337, 368), End: (1275, 450)
Frame: 22, Object ID: 1, Start: (337, 368), End: (1275, 450)
Frame: 23, Object ID: 1, Start: (337, 368), End: (1275, 450)
Frame: 24, Object ID: 1, Start: (329, 413), End: (1274, 432)
Frame: 25, Object ID: 1, Start: (329, 413), End: (1274, 432)
Frame: 26, Object ID: 1, Start: (329, 416), End: (1274, 430)
Frame: 27, Object ID: 1, Start: (327, 408), End: (1274, 456)
Frame: 28, Object ID: 1, Start: (327, 409), End: (1274, 454)
Frame: 29, Object ID: 1, Start: (327, 408), End: (1274, 456)
Frame: 30, Object ID: 1, Start: (385, 477), End: (1268, 401)
Frame: 31, Object ID: 1, Start: (385, 477), End: (1268, 401)
Frame: 32, Object ID: 1, Start: (383, 471), End: (1270, 409)
Frame: 33, Object ID: 1, Start: (323, 448), End: (1273, 422)
Frame: 34, Object ID: 1, Start: (323, 449), End: (1273, 422)
Frame: 35, Object ID: 1, Start: (323, 451), End: (1273, 421)
Frame: 36, Object ID: 1, Start: (358, 473), End: (1268, 400)
Frame: 37, Object ID: 1, Start: (358, 473), End: (1268, 400)
Frame: 38, Object ID: 1, Start: (358, 473), End: (1268, 400)
Frame: 39, Object ID: 1, Start: (337, 421), End: (1274, 408)
Frame: 40, Object ID: 1, Start: (337, 421), End: (1274, 408)
Frame: 41, Object ID: 1, Start: (337, 421), End: (1274, 408)
Frame: 42, Object ID: 1, Start: (314, 460), End: (1277, 406)
Frame: 43, Object ID: 1, Start: (314, 460), End: (1277, 406)
Frame: 44, Object ID: 1, Start: (304, 461), End: (1277, 406)
Frame: 45, Object ID: 1, Start: (285, 448), End: (1230, 409)
Frame: 46, Object ID: 1, Start: (286, 448), End: (1266, 408)
Frame: 47, Object ID: 1, Start: (286, 448), End: (1230, 409)
Frame: 48, Object ID: 1, Start: (301, 450), End: (1223, 407)
Frame: 49, Object ID: 1, Start: (301, 450), End: (1223, 407)
Frame: 50, Object ID: 1, Start: (301, 450), End: (1223, 407)
Frame: 51, Object ID: 1, Start: (262, 492), End: (1192, 366)
Frame: 52, Object ID: 1, Start: (262, 492), End: (1192, 366)
Frame: 53, Object ID: 1, Start: (262, 492), End: (1192, 366)
Frame: 54, Object ID: 1, Start: (246, 473), End: (1272, 357)
Frame: 55, Object ID: 1, Start: (246, 473), End: (1272, 357)
Frame: 56, Object ID: 1, Start: (1272, 357), End: (246, 473)
Frame: 57, Object ID: 1, Start: (228, 486), End: (1271, 347)
Frame: 58, Object ID: 1, Start: (228, 486), End: (1271, 347)
Frame: 59, Object ID: 1, Start: (1271, 347), End: (228, 486)
Frame: 60, Object ID: 1, Start: (215, 461), End: (1118, 401)
Frame: 61, Object ID: 1, Start: (215, 461), End: (1132, 400)
Frame: 62, Object ID: 1, Start: (216, 465), End: (1132, 396)
Frame: 63, Object ID: 1, Start: (212, 474), End: (1102, 365)
Frame: 64, Object ID: 1, Start: (213, 478), End: (1102, 369)
Frame: 65, Object ID: 1, Start: (213, 478), End: (1102, 369)
Frame: 66, Object ID: 1, Start: (201, 493), End: (1066, 347)
Frame: 67, Object ID: 1, Start: (201, 493), End: (1066, 347)
Frame: 68, Object ID: 1, Start: (201, 493), End: (1066, 347)
Frame: 69, Object ID: 1, Start: (187, 505), End: (1055, 344)
Frame: 70, Object ID: 1, Start: (187, 505), End: (1055, 344)
Frame: 71, Object ID: 1, Start: (187, 505), End: (1055, 344)
Frame: 72, Object ID: 1, Start: (183, 513), End: (1039, 343)
Frame: 73, Object ID: 1, Start: (183, 513), End: (1039, 343)
Frame: 74, Object ID: 1, Start: (183, 513), End: (1039, 343)
Frame: 75, Object ID: 1, Start: (171, 542), End: (1001, 283)
Frame: 76, Object ID: 1, Start: (171, 542), End: (1001, 283)
Frame: 77, Object ID: 1, Start: (171, 542), End: (1001, 283)
Frame: 78, Object ID: 1, Start: (138, 495), End: (1009, 342)
Frame: 79, Object ID: 1, Start: (138, 495), End: (1009, 342)
Frame: 80, Object ID: 1, Start: (138, 495), End: (1009, 342)
Frame: 81, Object ID: 1, Start: (84, 456), End: (1010, 426)
Frame: 82, Object ID: 1, Start: (84, 456), End: (1010, 426)
Frame: 83, Object ID: 1, Start: (84, 456), End: (1010, 426)
Frame: 84, Object ID: 1, Start: (87, 505), End: (984, 322)
Frame: 85, Object ID: 1, Start: (87, 505), End: (984, 322)
Frame: 86, Object ID: 1, Start: (87, 505), End: (984, 322)
Frame: 87, Object ID: 1, Start: (60, 478), End: (982, 341)
Frame: 88, Object ID: 1, Start: (60, 478), End: (982, 341)
Frame: 89, Object ID: 1, Start: (60, 478), End: (982, 341)
Frame: 90, Object ID: 1, Start: (112, 422), End: (985, 424)
Frame: 91, Object ID: 1, Start: (112, 422), End: (985, 424)
Frame: 92, Object ID: 1, Start: (985, 424), End: (112, 422)
Frame: 93, Object ID: 1, Start: (2, 454), End: (977, 409)
Frame: 94, Object ID: 1, Start: (2, 454), End: (977, 409)
Frame: 95, Object ID: 1, Start: (2, 454), End: (977, 409)
Frame: 96, Object ID: 1, Start: (58, 471), End: (968, 392)
Frame: 97, Object ID: 1, Start: (58, 470), End: (968, 392)
Frame: 98, Object ID: 1, Start: (58, 470), End: (968, 392)
Frame: 99, Object ID: 1, Start: (41, 479), End: (964, 391)
Frame: 100, Object ID: 1, Start: (41, 479), End: (964, 391)
Frame: 101, Object ID: 1, Start: (41, 479), End: (964, 391)
