Frame: 0, Object ID: 1, Start: (1169, 385), End: (0, 401)
Frame: 1, Object ID: 1, Start: (1167, 386), End: (0, 384)
Frame: 2, Object ID: 1, Start: (1167, 379), End: (0, 379)
Frame: 3, Object ID: 1, Start: (1221, 377), End: (0, 381)
Frame: 4, Object ID: 1, Start: (1218, 398), End: (-1, 387)
Frame: 5, Object ID: 1, Start: (1217, 390), End: (-2, 372)
Frame: 6, Object ID: 1, Start: (1144, 385), End: (-1, 377)
Frame: 7, Object ID: 1, Start: (1227, 370), End: (0, 389)
Frame: 8, Object ID: 1, Start: (1216, 396), End: (-6, 328)
Frame: 9, Object ID: 1, Start: (1228, 380), End: (0, 417)
Frame: 10, Object ID: 1, Start: (1231, 402), End: (0, 403)
Frame: 11, Object ID: 1, Start: (1219, 404), End: (-3, 366)
Frame: 12, Object ID: 1, Start: (1194, 399), End: (-2, 375)
Frame: 13, Object ID: 1, Start: (1186, 405), End: (-4, 354)
Frame: 14, Object ID: 1, Start: (1161, 415), End: (-5, 369)
Frame: 15, Object ID: 1, Start: (1248, 419), End: (-5, 368)
Frame: 16, Object ID: 1, Start: (1264, 392), End: (0, 408)
Frame: 17, Object ID: 1, Start: (1261, 379), End: (0, 422)
Frame: 18, Object ID: 1, Start: (1258, 379), End: (0, 421)
Frame: 19, Object ID: 1, Start: (1253, 394), End: (0, 395)
Frame: 20, Object ID: 1, Start: (1123, 398), End: (0, 398)
Frame: 21, Object ID: 1, Start: (1131, 396), End: (0, 396)
Frame: 22, Object ID: 1, Start: (1276, 381), End: (0, 416)
Frame: 23, Object ID: 1, Start: (1276, 382), End: (0, 414)
Frame: 24, Object ID: 1, Start: (1275, 389), End: (0, 416)
Frame: 25, Object ID: 1, Start: (1274, 389), End: (0, 403)
Frame: 26, Object ID: 1, Start: (1274, 391), End: (0, 405)
Frame: 27, Object ID: 1, Start: (1276, 385), End: (0, 415)
Frame: 28, Object ID: 1, Start: (1274, 390), End: (0, 397)
Frame: 29, Object ID: 1, Start: (1262, 406), End: (-3, 368)
Frame: 30, Object ID: 1, Start: (1276, 379), End: (0, 409)
Frame: 31, Object ID: 1, Start: (1276, 372), End: (0, 409)
Frame: 32, Object ID: 1, Start: (1277, 368), End: (0, 414)
Frame: 33, Object ID: 1, Start: (1167, 379), End: (0, 401)
