Frame: 0, Object ID: 1, Start: (67, 746), End: (508, 499)
Frame: 1, Object ID: 1, Start: (67, 746), End: (508, 499)
Frame: 2, Object ID: 1, Start: (67, 746), End: (508, 499)
Frame: 3, Object ID: 1, Start: (96, 702), End: (516, 511)
Frame: 3, Object ID: 2, Start: (487, 487), End: (664, 427)
Frame: 4, Object ID: 1, Start: (96, 702), End: (516, 511)
Frame: 4, Object ID: 2, Start: (487, 487), End: (664, 427)
Frame: 5, Object ID: 1, Start: (96, 702), End: (516, 511)
Frame: 5, Object ID: 2, Start: (487, 487), End: (664, 427)
Frame: 6, Object ID: 1, Start: (96, 702), End: (516, 511)
Frame: 6, Object ID: 2, Start: (487, 487), End: (664, 427)
Frame: 7, Object ID: 1, Start: (96, 702), End: (516, 511)
Frame: 7, Object ID: 2, Start: (487, 487), End: (664, 427)
Frame: 8, Object ID: 1, Start: (516, 511), End: (96, 702)
Frame: 8, Object ID: 2, Start: (487, 487), End: (664, 427)
Frame: 9, Object ID: 1, Start: (457, 498), End: (239, 585)
Frame: 9, Object ID: 2, Start: (94, 732), End: (524, 525)
Frame: 9, Object ID: 3, Start: (493, 493), End: (664, 416)
Frame: 10, Object ID: 1, Start: (457, 498), End: (239, 585)
Frame: 10, Object ID: 2, Start: (94, 732), End: (524, 525)
Frame: 10, Object ID: 3, Start: (493, 493), End: (664, 416)
Frame: 11, Object ID: 1, Start: (457, 498), End: (239, 585)
Frame: 11, Object ID: 2, Start: (524, 525), End: (94, 732)
Frame: 11, Object ID: 3, Start: (493, 493), End: (664, 416)
Frame: 12, Object ID: 1, Start: (68, 722), End: (532, 547)
Frame: 12, Object ID: 2, Start: (452, 494), End: (235, 595)
Frame: 12, Object ID: 3, Start: (495, 494), End: (667, 416)
Frame: 13, Object ID: 1, Start: (68, 722), End: (532, 547)
Frame: 13, Object ID: 2, Start: (452, 494), End: (235, 595)
Frame: 13, Object ID: 3, Start: (495, 494), End: (667, 416)
Frame: 14, Object ID: 1, Start: (70, 727), End: (532, 545)
Frame: 15, Object ID: 1, Start: (57, 744), End: (524, 520)
Frame: 16, Object ID: 1, Start: (57, 744), End: (524, 520)
Frame: 17, Object ID: 1, Start: (57, 744), End: (524, 520)
Frame: 18, Object ID: 1, Start: (74, 737), End: (536, 548)
Frame: 18, Object ID: 2, Start: (642, 397), End: (486, 470)
Frame: 19, Object ID: 1, Start: (74, 737), End: (536, 548)
Frame: 19, Object ID: 2, Start: (642, 397), End: (486, 470)
Frame: 20, Object ID: 1, Start: (74, 737), End: (536, 548)
Frame: 20, Object ID: 2, Start: (486, 470), End: (642, 397)
Frame: 21, Object ID: 1, Start: (532, 514), End: (100, 713)
Frame: 21, Object ID: 2, Start: (665, 398), End: (483, 462)
Frame: 22, Object ID: 1, Start: (532, 514), End: (100, 713)
Frame: 22, Object ID: 2, Start: (665, 398), End: (483, 462)
Frame: 23, Object ID: 1, Start: (532, 514), End: (100, 713)
Frame: 23, Object ID: 2, Start: (665, 398), End: (483, 462)
Frame: 24, Object ID: 1, Start: (379, 659), End: (532, 522)
Frame: 24, Object ID: 2, Start: (481, 524), End: (101, 724)
Frame: 24, Object ID: 3, Start: (651, 407), End: (486, 468)
Frame: 25, Object ID: 1, Start: (379, 659), End: (532, 522)
Frame: 25, Object ID: 2, Start: (481, 524), End: (101, 724)
Frame: 25, Object ID: 3, Start: (651, 407), End: (486, 468)
Frame: 26, Object ID: 1, Start: (101, 724), End: (481, 524)
Frame: 27, Object ID: 1, Start: (529, 508), End: (130, 733)
Frame: 28, Object ID: 1, Start: (529, 508), End: (130, 733)
Frame: 29, Object ID: 1, Start: (130, 733), End: (529, 508)
Frame: 30, Object ID: 1, Start: (120, 748), End: (521, 507)
Frame: 30, Object ID: 2, Start: (522, 485), End: (677, 410)
Frame: 31, Object ID: 1, Start: (120, 748), End: (521, 507)
Frame: 31, Object ID: 2, Start: (522, 485), End: (677, 410)
Frame: 32, Object ID: 1, Start: (120, 748), End: (521, 507)
Frame: 32, Object ID: 2, Start: (677, 410), End: (522, 485)
Frame: 33, Object ID: 1, Start: (109, 741), End: (526, 517)
