Frame: 21, Object ID: 1, Start: (581, 453), End: (544, 374)
Frame: 21, Object ID: 2, Start: (622, 427), End: (592, 372)
Frame: 21, Object ID: 3, Start: (629, 353), End: (594, 288)
Frame: 21, Object ID: 4, Start: (510, 334), End: (484, 275)
Frame: 22, Object ID: 1, Start: (606, 462), End: (606, 479)
Frame: 22, Object ID: 2, Start: (581, 453), End: (542, 370)
Frame: 22, Object ID: 3, Start: (622, 427), End: (589, 367)
Frame: 22, Object ID: 4, Start: (629, 354), End: (595, 289)
Frame: 22, Object ID: 5, Start: (503, 320), End: (484, 274)
Frame: 23, Object ID: 1, Start: (606, 461), End: (606, 479)
Frame: 23, Object ID: 2, Start: (581, 452), End: (541, 369)
Frame: 23, Object ID: 3, Start: (589, 365), End: (620, 425)
Frame: 23, Object ID: 4, Start: (629, 354), End: (594, 288)
Frame: 23, Object ID: 5, Start: (506, 319), End: (477, 261)
Frame: 24, Object ID: 1, Start: (606, 460), End: (606, 479)
Frame: 24, Object ID: 2, Start: (581, 452), End: (541, 369)
Frame: 24, Object ID: 3, Start: (620, 426), End: (590, 365)
Frame: 24, Object ID: 4, Start: (629, 355), End: (594, 287)
Frame: 24, Object ID: 5, Start: (507, 319), End: (474, 257)
Frame: 25, Object ID: 1, Start: (606, 479), End: (606, 459)
Frame: 25, Object ID: 2, Start: (542, 369), End: (575, 440)
Frame: 25, Object ID: 3, Start: (589, 363), End: (620, 425)
Frame: 25, Object ID: 4, Start: (627, 351), End: (593, 286)
Frame: 25, Object ID: 5, Start: (474, 257), End: (507, 319)
Frame: 26, Object ID: 1, Start: (596, 448), End: (608, 481)
Frame: 26, Object ID: 2, Start: (541, 369), End: (576, 439)
Frame: 26, Object ID: 3, Start: (588, 360), End: (620, 425)
Frame: 26, Object ID: 4, Start: (626, 350), End: (593, 284)
Frame: 26, Object ID: 5, Start: (503, 320), End: (482, 267)
Frame: 27, Object ID: 1, Start: (606, 480), End: (603, 456)
Frame: 27, Object ID: 2, Start: (575, 439), End: (541, 368)
Frame: 27, Object ID: 3, Start: (620, 425), End: (590, 366)
Frame: 27, Object ID: 4, Start: (626, 350), End: (593, 283)
Frame: 27, Object ID: 5, Start: (503, 320), End: (481, 266)
Frame: 28, Object ID: 1, Start: (596, 447), End: (608, 481)
Frame: 28, Object ID: 2, Start: (575, 439), End: (540, 368)
Frame: 28, Object ID: 3, Start: (620, 425), End: (587, 361)
Frame: 28, Object ID: 4, Start: (623, 345), End: (592, 282)
Frame: 28, Object ID: 5, Start: (473, 255), End: (507, 319)
Frame: 29, Object ID: 1, Start: (606, 480), End: (603, 454)
Frame: 29, Object ID: 2, Start: (575, 439), End: (540, 367)
Frame: 29, Object ID: 3, Start: (587, 356), End: (618, 424)
Frame: 29, Object ID: 4, Start: (623, 345), End: (592, 282)
Frame: 29, Object ID: 5, Start: (503, 320), End: (481, 266)
Frame: 30, Object ID: 1, Start: (603, 453), End: (606, 480)
Frame: 30, Object ID: 2, Start: (539, 364), End: (575, 439)
Frame: 30, Object ID: 3, Start: (588, 359), End: (619, 424)
Frame: 30, Object ID: 4, Start: (590, 278), End: (623, 345)
Frame: 30, Object ID: 5, Start: (503, 320), End: (480, 263)
Frame: 31, Object ID: 1, Start: (603, 453), End: (606, 480)
Frame: 31, Object ID: 2, Start: (575, 439), End: (539, 365)
Frame: 31, Object ID: 3, Start: (618, 424), End: (590, 362)
Frame: 31, Object ID: 4, Start: (623, 345), End: (591, 280)
Frame: 31, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 32, Object ID: 1, Start: (605, 455), End: (605, 479)
Frame: 32, Object ID: 2, Start: (575, 439), End: (539, 364)
Frame: 32, Object ID: 3, Start: (587, 356), End: (618, 424)
Frame: 32, Object ID: 4, Start: (622, 345), End: (592, 279)
Frame: 32, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 33, Object ID: 1, Start: (604, 453), End: (605, 479)
Frame: 33, Object ID: 2, Start: (575, 439), End: (538, 362)
Frame: 33, Object ID: 3, Start: (618, 424), End: (589, 360)
Frame: 33, Object ID: 4, Start: (622, 345), End: (591, 277)
Frame: 33, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 34, Object ID: 1, Start: (604, 479), End: (604, 453)
Frame: 34, Object ID: 2, Start: (575, 439), End: (538, 362)
Frame: 34, Object ID: 3, Start: (618, 424), End: (588, 359)
Frame: 34, Object ID: 4, Start: (622, 345), End: (590, 276)
Frame: 34, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 35, Object ID: 1, Start: (587, 440), End: (609, 481)
Frame: 35, Object ID: 2, Start: (574, 439), End: (538, 360)
Frame: 35, Object ID: 3, Start: (618, 423), End: (588, 359)
Frame: 35, Object ID: 4, Start: (621, 345), End: (590, 276)
Frame: 35, Object ID: 5, Start: (503, 321), End: (477, 261)
Frame: 36, Object ID: 1, Start: (600, 446), End: (606, 480)
Frame: 36, Object ID: 2, Start: (574, 439), End: (538, 359)
Frame: 36, Object ID: 3, Start: (585, 350), End: (617, 423)
Frame: 36, Object ID: 4, Start: (621, 345), End: (590, 275)
Frame: 36, Object ID: 5, Start: (503, 321), End: (477, 260)
Frame: 37, Object ID: 1, Start: (600, 446), End: (606, 480)
Frame: 37, Object ID: 2, Start: (574, 439), End: (538, 358)
Frame: 37, Object ID: 3, Start: (617, 423), End: (587, 354)
Frame: 37, Object ID: 4, Start: (621, 345), End: (590, 274)
Frame: 37, Object ID: 5, Start: (503, 321), End: (476, 260)
Frame: 38, Object ID: 1, Start: (600, 446), End: (606, 480)
Frame: 38, Object ID: 2, Start: (587, 352), End: (616, 423)
Frame: 38, Object ID: 3, Start: (531, 345), End: (574, 438)
Frame: 38, Object ID: 4, Start: (621, 345), End: (590, 274)
Frame: 38, Object ID: 5, Start: (503, 321), End: (476, 260)
Frame: 39, Object ID: 1, Start: (607, 480), End: (599, 447)
Frame: 39, Object ID: 2, Start: (574, 438), End: (534, 349)
Frame: 39, Object ID: 3, Start: (616, 423), End: (587, 352)
Frame: 39, Object ID: 4, Start: (621, 345), End: (589, 271)
Frame: 39, Object ID: 5, Start: (503, 321), End: (476, 258)
Frame: 40, Object ID: 1, Start: (585, 436), End: (609, 481)
Frame: 40, Object ID: 2, Start: (573, 437), End: (534, 349)
Frame: 40, Object ID: 3, Start: (616, 422), End: (587, 352)
Frame: 40, Object ID: 4, Start: (621, 345), End: (589, 270)
Frame: 40, Object ID: 5, Start: (503, 321), End: (475, 257)
Frame: 41, Object ID: 1, Start: (598, 442), End: (607, 480)
Frame: 41, Object ID: 2, Start: (573, 436), End: (533, 348)
Frame: 41, Object ID: 3, Start: (583, 345), End: (615, 420)
Frame: 41, Object ID: 4, Start: (621, 345), End: (589, 270)
Frame: 41, Object ID: 5, Start: (504, 320), End: (474, 256)
Frame: 42, Object ID: 1, Start: (598, 441), End: (606, 480)
Frame: 42, Object ID: 2, Start: (615, 420), End: (584, 348)
Frame: 42, Object ID: 3, Start: (572, 435), End: (533, 347)
Frame: 42, Object ID: 4, Start: (621, 345), End: (588, 268)
Frame: 42, Object ID: 5, Start: (504, 319), End: (474, 256)
Frame: 43, Object ID: 1, Start: (598, 442), End: (606, 480)
Frame: 43, Object ID: 2, Start: (615, 420), End: (585, 348)
Frame: 43, Object ID: 3, Start: (572, 434), End: (534, 347)
Frame: 43, Object ID: 4, Start: (620, 345), End: (587, 264)
Frame: 43, Object ID: 5, Start: (504, 319), End: (473, 255)
Frame: 44, Object ID: 1, Start: (598, 441), End: (606, 480)
Frame: 44, Object ID: 2, Start: (612, 414), End: (584, 346)
Frame: 44, Object ID: 3, Start: (571, 434), End: (533, 346)
Frame: 44, Object ID: 4, Start: (619, 344), End: (586, 261)
Frame: 44, Object ID: 5, Start: (503, 320), End: (472, 252)
Frame: 45, Object ID: 1, Start: (606, 480), End: (598, 440)
Frame: 45, Object ID: 2, Start: (571, 433), End: (534, 347)
Frame: 45, Object ID: 3, Start: (612, 414), End: (584, 344)
Frame: 45, Object ID: 4, Start: (620, 344), End: (585, 260)
Frame: 45, Object ID: 5, Start: (503, 320), End: (471, 249)
Frame: 46, Object ID: 1, Start: (582, 431), End: (610, 481)
Frame: 46, Object ID: 2, Start: (571, 432), End: (531, 340)
Frame: 46, Object ID: 3, Start: (611, 413), End: (582, 339)
Frame: 46, Object ID: 4, Start: (578, 253), End: (624, 341)
Frame: 46, Object ID: 5, Start: (503, 320), End: (470, 247)
Frame: 47, Object ID: 1, Start: (608, 481), End: (591, 437)
Frame: 47, Object ID: 2, Start: (571, 432), End: (530, 339)
Frame: 47, Object ID: 3, Start: (610, 413), End: (583, 340)
Frame: 47, Object ID: 4, Start: (619, 343), End: (585, 259)
Frame: 47, Object ID: 5, Start: (503, 320), End: (470, 246)
Frame: 48, Object ID: 1, Start: (607, 481), End: (592, 436)
Frame: 48, Object ID: 2, Start: (571, 432), End: (530, 339)
Frame: 48, Object ID: 3, Start: (582, 337), End: (610, 413)
Frame: 48, Object ID: 4, Start: (619, 343), End: (584, 257)
Frame: 48, Object ID: 5, Start: (503, 320), End: (470, 246)
Frame: 49, Object ID: 1, Start: (581, 430), End: (610, 481)
Frame: 49, Object ID: 2, Start: (571, 432), End: (530, 339)
Frame: 49, Object ID: 3, Start: (611, 412), End: (583, 340)
Frame: 49, Object ID: 4, Start: (619, 343), End: (583, 256)
Frame: 49, Object ID: 5, Start: (503, 320), End: (469, 244)
Frame: 50, Object ID: 1, Start: (581, 430), End: (610, 480)
Frame: 50, Object ID: 2, Start: (571, 430), End: (529, 337)
Frame: 50, Object ID: 3, Start: (608, 413), End: (580, 340)
Frame: 50, Object ID: 4, Start: (623, 341), End: (578, 253)
Frame: 50, Object ID: 5, Start: (503, 320), End: (469, 244)
Frame: 51, Object ID: 1, Start: (474, 463), End: (474, 479)
Frame: 51, Object ID: 2, Start: (610, 480), End: (582, 431)
Frame: 51, Object ID: 3, Start: (570, 430), End: (529, 338)
Frame: 51, Object ID: 4, Start: (607, 413), End: (581, 340)
Frame: 51, Object ID: 5, Start: (623, 341), End: (580, 255)
Frame: 51, Object ID: 6, Start: (504, 320), End: (469, 244)
Frame: 52, Object ID: 1, Start: (474, 462), End: (474, 479)
Frame: 52, Object ID: 2, Start: (611, 480), End: (580, 429)
Frame: 52, Object ID: 3, Start: (570, 428), End: (529, 338)
Frame: 52, Object ID: 4, Start: (606, 412), End: (580, 338)
Frame: 52, Object ID: 5, Start: (622, 342), End: (581, 252)
Frame: 52, Object ID: 6, Start: (504, 319), End: (469, 244)
Frame: 53, Object ID: 1, Start: (474, 463), End: (474, 479)
Frame: 53, Object ID: 2, Start: (575, 423), End: (612, 479)
Frame: 53, Object ID: 3, Start: (570, 427), End: (529, 338)
Frame: 53, Object ID: 4, Start: (606, 412), End: (580, 337)
Frame: 53, Object ID: 5, Start: (621, 342), End: (581, 253)
Frame: 53, Object ID: 6, Start: (504, 319), End: (468, 243)
Frame: 54, Object ID: 1, Start: (474, 479), End: (474, 463)
Frame: 54, Object ID: 2, Start: (609, 481), End: (587, 433)
Frame: 54, Object ID: 3, Start: (577, 420), End: (557, 411)
Frame: 54, Object ID: 4, Start: (561, 405), End: (528, 337)
Frame: 54, Object ID: 5, Start: (579, 332), End: (606, 412)
Frame: 54, Object ID: 6, Start: (621, 341), End: (580, 251)
Frame: 54, Object ID: 7, Start: (504, 319), End: (468, 243)
Frame: 55, Object ID: 1, Start: (480, 471), End: (462, 471)
Frame: 55, Object ID: 2, Start: (609, 480), End: (587, 433)
Frame: 55, Object ID: 3, Start: (576, 420), End: (558, 411)
Frame: 55, Object ID: 4, Start: (563, 405), End: (527, 337)
Frame: 55, Object ID: 5, Start: (606, 412), End: (580, 336)
Frame: 55, Object ID: 6, Start: (622, 340), End: (580, 251)
Frame: 55, Object ID: 7, Start: (503, 320), End: (469, 243)
Frame: 56, Object ID: 1, Start: (480, 471), End: (462, 471)
Frame: 56, Object ID: 2, Start: (575, 423), End: (612, 479)
Frame: 56, Object ID: 3, Start: (576, 420), End: (558, 411)
Frame: 56, Object ID: 4, Start: (527, 337), End: (563, 405)
Frame: 56, Object ID: 5, Start: (605, 412), End: (581, 334)
Frame: 56, Object ID: 6, Start: (503, 320), End: (469, 243)
Frame: 57, Object ID: 1, Start: (453, 467), End: (481, 472)
Frame: 57, Object ID: 2, Start: (611, 480), End: (581, 429)
Frame: 57, Object ID: 3, Start: (571, 420), End: (527, 337)
Frame: 57, Object ID: 4, Start: (605, 412), End: (581, 334)
Frame: 57, Object ID: 5, Start: (579, 251), End: (614, 322)
Frame: 57, Object ID: 6, Start: (503, 320), End: (469, 243)
Frame: 58, Object ID: 1, Start: (453, 468), End: (482, 472)
Frame: 58, Object ID: 2, Start: (611, 480), End: (581, 429)
Frame: 58, Object ID: 3, Start: (563, 405), End: (527, 336)
Frame: 58, Object ID: 4, Start: (606, 412), End: (581, 333)
Frame: 58, Object ID: 5, Start: (623, 340), End: (579, 251)
Frame: 58, Object ID: 6, Start: (503, 319), End: (468, 242)
Frame: 59, Object ID: 1, Start: (454, 470), End: (481, 470)
Frame: 59, Object ID: 2, Start: (611, 480), End: (583, 430)
Frame: 59, Object ID: 3, Start: (564, 405), End: (526, 337)
Frame: 59, Object ID: 4, Start: (606, 412), End: (580, 333)
Frame: 59, Object ID: 5, Start: (614, 321), End: (576, 248)
Frame: 59, Object ID: 6, Start: (503, 318), End: (465, 236)
Frame: 60, Object ID: 1, Start: (482, 481), End: (458, 457)
Frame: 60, Object ID: 2, Start: (611, 479), End: (583, 430)
Frame: 60, Object ID: 3, Start: (563, 402), End: (525, 335)
Frame: 60, Object ID: 4, Start: (604, 403), End: (578, 331)
Frame: 60, Object ID: 5, Start: (613, 317), End: (577, 249)
Frame: 60, Object ID: 6, Start: (490, 292), End: (467, 236)
Frame: 61, Object ID: 1, Start: (482, 481), End: (458, 457)
Frame: 61, Object ID: 2, Start: (570, 420), End: (613, 477)
Frame: 61, Object ID: 3, Start: (561, 399), End: (524, 334)
Frame: 61, Object ID: 4, Start: (610, 401), End: (575, 331)
Frame: 61, Object ID: 5, Start: (614, 316), End: (576, 248)
Frame: 61, Object ID: 6, Start: (493, 291), End: (463, 238)
Frame: 62, Object ID: 1, Start: (484, 469), End: (454, 469)
Frame: 62, Object ID: 2, Start: (611, 479), End: (581, 428)
Frame: 62, Object ID: 3, Start: (560, 397), End: (524, 333)
Frame: 62, Object ID: 4, Start: (610, 401), End: (574, 330)
Frame: 62, Object ID: 5, Start: (614, 316), End: (575, 247)
Frame: 62, Object ID: 6, Start: (493, 291), End: (462, 237)
Frame: 63, Object ID: 1, Start: (480, 482), End: (459, 455)
Frame: 63, Object ID: 2, Start: (612, 478), End: (580, 428)
Frame: 63, Object ID: 3, Start: (560, 397), End: (523, 333)
Frame: 63, Object ID: 4, Start: (610, 401), End: (573, 330)
Frame: 63, Object ID: 5, Start: (614, 316), End: (574, 247)
Frame: 63, Object ID: 6, Start: (493, 290), End: (461, 236)
Frame: 64, Object ID: 1, Start: (480, 482), End: (458, 454)
Frame: 64, Object ID: 2, Start: (612, 478), End: (580, 427)
Frame: 64, Object ID: 3, Start: (560, 396), End: (522, 331)
Frame: 64, Object ID: 4, Start: (611, 401), End: (572, 330)
Frame: 64, Object ID: 5, Start: (615, 315), End: (574, 246)
Frame: 64, Object ID: 6, Start: (492, 291), End: (461, 235)
Frame: 65, Object ID: 1, Start: (481, 482), End: (457, 454)
Frame: 65, Object ID: 2, Start: (612, 479), End: (579, 426)
Frame: 65, Object ID: 3, Start: (560, 396), End: (521, 331)
Frame: 65, Object ID: 4, Start: (611, 401), End: (572, 329)
Frame: 65, Object ID: 5, Start: (614, 315), End: (574, 245)
Frame: 65, Object ID: 6, Start: (493, 291), End: (460, 235)
Frame: 66, Object ID: 1, Start: (449, 448), End: (481, 482)
Frame: 66, Object ID: 2, Start: (612, 478), End: (578, 424)
Frame: 66, Object ID: 3, Start: (560, 393), End: (520, 330)
Frame: 66, Object ID: 4, Start: (611, 400), End: (571, 329)
Frame: 66, Object ID: 5, Start: (614, 315), End: (573, 244)
Frame: 66, Object ID: 6, Start: (493, 291), End: (460, 234)
Frame: 67, Object ID: 1, Start: (481, 482), End: (455, 454)
Frame: 67, Object ID: 2, Start: (613, 478), End: (577, 424)
Frame: 67, Object ID: 3, Start: (634, 363), End: (634, 346)
