Frame: 23, Object ID: 4, Start: (514, 212), End: (559, 203)
Frame: 24, Object ID: 1, Start: (592, 297), End: (518, 311)
Frame: 24, Object ID: 2, Start: (615, 295), End: (581, 298)
Frame: 24, Object ID: 3, Start: (640, 197), End: (513, 214)
Frame: 24, Object ID: 4, Start: (554, 173), End: (621, 171)
Frame: 25, Object ID: 1, Start: (592, 297), End: (516, 311)
Frame: 25, Object ID: 2, Start: (613, 296), End: (582, 296)
Frame: 25, Object ID: 3, Start: (584, 202), End: (512, 210)
Frame: 25, Object ID: 4, Start: (640, 198), End: (603, 202)
Frame: 25, Object ID: 5, Start: (621, 171), End: (554, 173)
Frame: 25, Object ID: 6, Start: (489, 150), End: (466, 150)
Frame: 26, Object ID: 1, Start: (590, 298), End: (515, 311)
Frame: 26, Object ID: 2, Start: (613, 294), End: (582, 294)
Frame: 26, Object ID: 3, Start: (584, 202), End: (511, 211)
Frame: 26, Object ID: 4, Start: (640, 198), End: (602, 202)
Frame: 26, Object ID: 5, Start: (552, 173), End: (621, 171)
Frame: 26, Object ID: 6, Start: (489, 150), End: (465, 150)
Frame: 27, Object ID: 1, Start: (587, 299), End: (514, 311)
Frame: 27, Object ID: 2, Start: (581, 294), End: (612, 294)
Frame: 27, Object ID: 3, Start: (639, 252), End: (625, 252)
Frame: 27, Object ID: 4, Start: (584, 205), End: (510, 213)
Frame: 27, Object ID: 5, Start: (640, 198), End: (601, 202)
Frame: 27, Object ID: 6, Start: (489, 150), End: (465, 150)
Frame: 28, Object ID: 1, Start: (587, 299), End: (513, 311)
Frame: 28, Object ID: 2, Start: (581, 294), End: (611, 294)
Frame: 28, Object ID: 3, Start: (583, 205), End: (509, 212)
Frame: 28, Object ID: 4, Start: (640, 198), End: (600, 202)
Frame: 28, Object ID: 5, Start: (618, 172), End: (567, 172)
Frame: 28, Object ID: 6, Start: (486, 150), End: (464, 150)
Frame: 29, Object ID: 1, Start: (510, 311), End: (581, 300)
Frame: 29, Object ID: 2, Start: (584, 294), End: (611, 294)
Frame: 29, Object ID: 3, Start: (579, 203), End: (508, 210)
Frame: 29, Object ID: 4, Start: (599, 203), End: (639, 198)
Frame: 29, Object ID: 5, Start: (618, 172), End: (567, 172)
Frame: 29, Object ID: 6, Start: (464, 150), End: (485, 150)
Frame: 30, Object ID: 1, Start: (511, 311), End: (581, 300)
Frame: 30, Object ID: 2, Start: (584, 294), End: (611, 294)
